Name,Mean (ps),2*Stdev (ps)
All.insert (small).HashMapStrict.19,96911,6106
All.insert (small).MapBL.19,56411,4152
All.insert (small).MapBB.19,54870,4192
All.insert (small).MapBU.19,41939,3170
All.insert (small).MapUL.19,50952,3210
All.insert (small).MapUB.19,41441,1726
All.insert (small).MapUU.19,35972,2912
All.insert (small).HashMapLazy.20,100349,5298
All.insert (small).HashMapStrict.20,100433,5440
All.insert (small).MapBL.20,55243,2942
All.insert (small).MapBB.20,54354,2350
All.insert (small).MapBU.20,42460,2914
All.insert (small).MapUL.20,54533,2886
All.insert (small).MapUB.20,41869,2552
All.insert (small).MapUU.20,36610,2614
All.insert (small).HashMapLazy.21,104262,4178
All.insert (small).HashMapStrict.21,106509,10080
All.insert (small).MapBL.21,58118,5782
All.insert (small).MapBB.21,54973,2004
All.insert (small).MapBU.21,43333,1662
All.insert (small).MapUL.21,54575,2154
All.insert (small).MapUB.21,41972,2928
All.insert (small).MapUU.21,37923,2966
All.insert (small).HashMapLazy.22,109251,10820
All.insert (small).HashMapStrict.22,108251,9950
All.insert (small).MapBL.22,59423,2746
All.insert (small).MapBB.22,56536,5224
All.insert (small).MapBU.22,44027,1966
All.insert (small).MapUL.22,54579,5378
All.insert (small).MapUB.22,42646,2698
All.insert (small).MapUU.22,37212,3290
All.insert (small).HashMapLazy.23,112241,9676
All.insert (small).HashMapStrict.23,113044,9502
All.insert (small).MapBL.23,61821,3122
All.insert (small).MapBB.23,57787,4532
All.insert (small).MapBU.23,44728,1446
All.insert (small).MapUL.23,56239,3366
All.insert (small).MapUB.23,42856,2796
All.insert (small).MapUU.23,37474,2884
All.insert (small).HashMapLazy.24,114829,4332
All.insert (small).HashMapStrict.24,117683,4196
All.insert (small).MapBL.24,62066,5208
All.insert (small).MapBB.24,58249,5648
All.insert (small).MapBU.24,47411,3512
All.insert (small).MapUL.24,58195,2060
All.insert (small).MapUB.24,44491,4370
All.insert (small).MapUU.24,39752,3594
All.insert (small).HashMapLazy.25,118319,10880
All.insert (small).HashMapStrict.25,119570,8894
All.insert (small).MapBL.25,62946,5996
All.insert (small).MapBB.25,59670,5136
All.insert (small).MapBU.25,45199,3912
All.insert (small).MapUL.25,58588,1366
All.insert (small).MapUB.25,44094,2806
All.insert (small).MapUU.25,38589,2680
