Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).HashMapUL.12,92603,8330,551,0,50331648
All.insert (small).HashMapUB.12,79268,2654,551,0,50331648
All.insert (small).HashMapUU.12,62568,3252,511,0,50331648
All.insert (small).Data_HashMap_Lazy.13,92494,5338,216,0,50331648
All.insert (small).Data_HashMap_Strict.13,100271,5274,216,0,50331648
All.insert (small).HashMapBL.13,92834,7398,568,0,50331648
All.insert (small).HashMapBB.13,83837,1890,567,0,50331648
All.insert (small).HashMapBU.13,79053,6562,568,0,50331648
All.insert (small).HashMapUL.13,87092,6350,568,0,50331648
All.insert (small).HashMapUB.13,78387,5974,568,0,50331648
All.insert (small).HashMapUU.13,65987,4224,527,0,50331648
All.insert (small).Data_HashMap_Lazy.14,109088,3956,224,0,50331648
All.insert (small).Data_HashMap_Strict.14,112770,9370,224,0,50331648
All.insert (small).HashMapBL.14,92025,7404,583,0,50331648
All.insert (small).HashMapBB.14,88604,7362,584,0,50331648
All.insert (small).HashMapBU.14,75291,6152,583,0,50331648
All.insert (small).HashMapUL.14,90933,5906,584,0,50331648
All.insert (small).HashMapUB.14,71534,2062,583,0,50331648
All.insert (small).HashMapUU.14,61456,5838,544,0,50331648
All.insert (small).Data_HashMap_Lazy.15,97155,8000,232,0,50331648
All.insert (small).Data_HashMap_Strict.15,96219,5680,232,0,50331648
All.insert (small).HashMapBL.15,99238,9720,600,0,50331648
All.insert (small).HashMapBB.15,84843,10522,599,0,50331648
All.insert (small).HashMapBU.15,83535,7354,600,0,50331648
All.insert (small).HashMapUL.15,93291,2852,600,0,50331648
All.insert (small).HashMapUB.15,79021,3184,600,0,50331648
All.insert (small).HashMapUU.15,69201,5120,559,0,50331648
All.insert (small).Data_HashMap_Lazy.16,120963,7190,240,0,50331648
All.insert (small).Data_HashMap_Strict.16,125782,6150,240,0,50331648
All.insert (small).HashMapBL.16,113854,10758,617,0,50331648
All.insert (small).HashMapBB.16,87030,7680,616,0,50331648
All.insert (small).HashMapBU.16,78335,3514,616,0,50331648
All.insert (small).HashMapUL.16,94352,6858,616,0,50331648
All.insert (small).HashMapUB.16,82283,5178,616,0,50331648
All.insert (small).HashMapUU.16,68222,5028,575,0,50331648
All.insert (small).Data_HashMap_Lazy.17,108321,4890,248,0,50331648
All.insert (small).Data_HashMap_Strict.17,110312,10360,248,0,50331648
All.insert (small).HashMapBL.17,102032,7962,632,0,50331648
All.insert (small).HashMapBB.17,92540,3362,632,0,50331648
All.insert (small).HashMapBU.17,83047,2974,632,0,50331648
All.insert (small).HashMapUL.17,102792,5230,632,0,50331648
All.insert (small).HashMapUB.17,87045,8650,632,0,50331648
All.insert (small).HashMapUU.17,80981,5806,592,0,50331648
All.insert (small).Data_HashMap_Lazy.18,125906,10622,257,0,50331648
All.insert (small).Data_HashMap_Strict.18,142683,10322,257,0,50331648
All.insert (small).HashMapBL.18,100529,3600,647,0,50331648
All.insert (small).HashMapBB.18,89876,7268,647,0,50331648
All.insert (small).HashMapBU.18,88936,6986,648,0,50331648
All.insert (small).HashMapUL.18,104264,10130,647,0,50331648
All.insert (small).HashMapUB.18,84835,4314,647,0,50331648
All.insert (small).HashMapUU.18,78904,6036,608,0,50331648
All.insert (small).Data_HashMap_Lazy.19,117769,6810,264,0,50331648
All.insert (small).Data_HashMap_Strict.19,123726,11522,264,0,50331648
All.insert (small).HashMapBL.19,109956,5194,663,0,50331648
All.insert (small).HashMapBB.19,100222,8582,664,0,50331648
All.insert (small).HashMapBU.19,87920,6612,663,0,50331648
All.insert (small).HashMapUL.19,109962,5806,664,0,50331648
All.insert (small).HashMapUB.19,80633,1578,663,0,50331648
All.insert (small).HashMapUU.19,73559,3774,623,0,50331648
All.insert (small).Data_HashMap_Lazy.20,121693,3788,272,0,50331648
All.insert (small).Data_HashMap_Strict.20,116816,940,272,0,50331648
All.insert (small).HashMapBL.20,109824,4052,679,0,50331648
All.insert (small).HashMapBB.20,121594,7742,679,0,50331648
All.insert (small).HashMapBU.20,134196,6710,680,0,50331648
All.insert (small).HashMapUL.20,116768,5856,679,0,50331648
All.insert (small).HashMapUB.20,94622,8850,679,1,50331648
All.insert (small).HashMapUU.20,75025,3786,639,0,50331648
All.insert (small).Data_HashMap_Lazy.21,121161,3084,279,0,50331648
All.insert (small).Data_HashMap_Strict.21,122146,10650,280,0,50331648
All.insert (small).HashMapBL.21,127658,11340,696,0,50331648
All.insert (small).HashMapBB.21,94110,5012,695,0,50331648
All.insert (small).HashMapBU.21,90558,1608,695,0,50331648
All.insert (small).HashMapUL.21,112456,7992,695,0,50331648
All.insert (small).HashMapUB.21,83048,8170,695,0,50331648
All.insert (small).HashMapUU.21,74588,11280,655,0,50331648
All.insert (small).Data_HashMap_Lazy.22,126157,1606,288,0,50331648
All.insert (small).Data_HashMap_Strict.22,132892,10304,288,0,50331648
All.insert (small).HashMapBL.22,110494,5310,711,0,50331648
All.insert (small).HashMapBB.22,99233,7910,711,0,50331648
All.insert (small).HashMapBU.22,108566,10326,712,0,50331648
All.insert (small).HashMapUL.22,109991,6630,711,0,50331648
All.insert (small).HashMapUB.22,85363,3138,711,0,50331648
All.insert (small).HashMapUU.22,70822,2814,671,0,50331648
All.insert (small).Data_HashMap_Lazy.23,165117,12236,296,0,50331648
All.insert (small).Data_HashMap_Strict.23,136398,8208,296,0,50331648
All.insert (small).HashMapBL.23,118135,7270,728,0,50331648
All.insert (small).HashMapBB.23,99318,2526,727,0,50331648
All.insert (small).HashMapBU.23,85112,2742,727,0,50331648
All.insert (small).HashMapUL.23,109414,7162,728,0,50331648
All.insert (small).HashMapUB.23,83264,3578,727,0,50331648
All.insert (small).HashMapUU.23,74016,1556,687,0,50331648
All.insert (small).Data_HashMap_Lazy.24,171324,5742,304,0,50331648
All.insert (small).Data_HashMap_Strict.24,136073,2784,304,0,50331648
All.insert (small).HashMapBL.24,125755,7518,744,0,50331648
All.insert (small).HashMapBB.24,109489,5042,743,0,50331648
All.insert (small).HashMapBU.24,95570,7262,744,0,50331648
