Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).HashMapBU.12,76732,20980,551,0,49283072
All.insert (small).HashMapUL.12,89605,16162,551,0,49283072
All.insert (small).HashMapUB.12,74718,31198,551,0,49283072
All.insert (small).HashMapUU.12,60037,13310,512,0,49283072
All.insert (small).Data_HashMap_Lazy.13,120527,28384,216,0,49283072
All.insert (small).Data_HashMap_Strict.13,118698,31840,216,0,49283072
All.insert (small).HashMapBL.13,101741,39760,568,0,49283072
All.insert (small).HashMapBB.13,86761,14536,567,0,49283072
All.insert (small).HashMapBU.13,73587,13148,567,0,49283072
All.insert (small).HashMapUL.13,82421,17746,567,0,49283072
All.insert (small).HashMapUB.13,74850,21178,567,0,49283072
All.insert (small).HashMapUU.13,61914,17944,527,0,49283072
All.insert (small).Data_HashMap_Lazy.14,125995,36762,224,0,49283072
All.insert (small).Data_HashMap_Strict.14,129259,30004,224,0,50331648
All.insert (small).HashMapBL.14,109721,36288,583,0,50331648
All.insert (small).HashMapBB.14,96108,28582,583,0,50331648
All.insert (small).HashMapBU.14,86853,16092,583,0,50331648
All.insert (small).HashMapUL.14,98471,30664,583,0,50331648
All.insert (small).HashMapUB.14,77628,22704,583,0,50331648
All.insert (small).HashMapUU.14,59895,16870,544,0,50331648
All.insert (small).Data_HashMap_Lazy.15,134843,26906,232,0,50331648
All.insert (small).Data_HashMap_Strict.15,134854,37744,232,0,50331648
All.insert (small).HashMapBL.15,106741,29794,600,0,50331648
All.insert (small).HashMapBB.15,94577,18268,600,0,50331648
All.insert (small).HashMapBU.15,74506,20226,600,0,50331648
All.insert (small).HashMapUL.15,97164,27332,600,0,50331648
All.insert (small).HashMapUB.15,75557,20134,600,0,50331648
All.insert (small).HashMapUU.15,63982,16074,559,0,50331648
All.insert (small).Data_HashMap_Lazy.16,141629,27292,240,0,50331648
All.insert (small).Data_HashMap_Strict.16,141001,33600,240,0,50331648
All.insert (small).HashMapBL.16,113412,34948,616,0,50331648
All.insert (small).HashMapBB.16,108538,39910,616,0,50331648
All.insert (small).HashMapBU.16,83432,21242,616,0,50331648
All.insert (small).HashMapUL.16,99177,34174,616,0,50331648
All.insert (small).HashMapUB.16,80491,18744,616,0,50331648
All.insert (small).HashMapUU.16,62871,17620,575,0,50331648
All.insert (small).Data_HashMap_Lazy.17,143312,47124,248,0,50331648
All.insert (small).Data_HashMap_Strict.17,145785,27034,248,0,50331648
All.insert (small).HashMapBL.17,114200,31932,632,0,50331648
All.insert (small).HashMapBB.17,101487,25856,632,0,50331648
All.insert (small).HashMapBU.17,80762,13084,632,0,50331648
All.insert (small).HashMapUL.17,98222,35424,632,0,50331648
All.insert (small).HashMapUB.17,82292,15564,632,0,50331648
All.insert (small).HashMapUU.17,66418,17668,591,0,50331648
All.insert (small).Data_HashMap_Lazy.18,152563,31164,256,0,50331648
All.insert (small).Data_HashMap_Strict.18,153321,31668,256,0,50331648
